n,Tn,rad_n,rad_Tn,omega_n,omega_Tn,Omega_n,Omega_Tn,gcd_n_Tn,digit_sum_n,factorization_n,factorization_Tn
1800,1080,30,30,3,3,7,7,360,9,"2^3 * 3^2 * 5^2","2^3 * 3^3 * 5"
3024,3402,42,42,3,3,8,7,378,9,"2^4 * 3^3 * 7","2 * 3^5 * 7"
4500,4050,30,30,3,3,7,7,450,9,"2^2 * 3^2 * 5^3","2 * 3^4 * 5^2"
6048,6804,42,42,3,3,9,8,756,18,"2^5 * 3^3 * 7","2^2 * 3^5 * 7"
10143,13041,483,483,3,3,5,6,1449,9,"3^2 * 7^2 * 23","3^4 * 7 * 23"
18000,10800,30,30,3,3,9,9,3600,9,"2^4 * 3^2 * 5^3","2^4 * 3^3 * 5^2"
20286,26082,966,966,4,4,6,7,2898,18,"2 * 3^2 * 7^2 * 23","2 * 3^4 * 7 * 23"
27864,24768,258,258,3,3,8,9,3096,27,"2^3 * 3^4 * 43","2^6 * 3^2 * 43"
45000,40500,30,30,3,3,9,9,4500,9,"2^3 * 3^2 * 5^4","2^2 * 3^4 * 5^3"
117216,161172,2442,2442,4,4,9,7,14652,18,"2^5 * 3^2 * 11 * 37","2^2 * 3^2 * 11^2 * 37"
126000,102060,210,210,4,4,10,10,1260,9,"2^4 * 3^2 * 5^3 * 7","2^2 * 3^6 * 5 * 7"
180000,108000,30,30,3,3,11,11,36000,9,"2^5 * 3^2 * 5^4","2^5 * 3^3 * 5^3"
189216,168192,438,438,3,3,10,11,21024,27,"2^5 * 3^4 * 73","2^8 * 3^2 * 73"
224224,242242,2002,2002,4,4,9,6,2002,16,"2^5 * 7^2 * 11 * 13","2 * 7 * 11^3 * 13"
333234,343332,1122,1122,4,4,8,8,10098,18,"2 * 3^4 * 11^2 * 17","2^2 * 3^3 * 11 * 17^2"
352872,325728,2262,2262,4,4,8,10,27144,27,"2^3 * 3^2 * 13^2 * 29","2^5 * 3^3 * 13 * 29"
387585,358875,4785,4785,4,4,8,7,14355,36,"3^5 * 5 * 11 * 29","3^2 * 5^3 * 11 * 29"
448448,484484,2002,2002,4,4,10,7,4004,32,"2^6 * 7^2 * 11 * 13","2^2 * 7 * 11^3 * 13"
450000,405000,30,30,3,3,11,11,45000,9,"2^4 * 3^2 * 5^5","2^3 * 3^4 * 5^4"
456030,405360,16890,16890,4,4,7,8,50670,18,"2 * 3^4 * 5 * 563","2^4 * 3^2 * 5 * 563"
666468,686664,1122,1122,4,4,9,9,20196,36,"2^2 * 3^4 * 11^2 * 17","2^3 * 3^3 * 11 * 17^2"
1260000,1020600,210,210,4,4,12,12,12600,9,"2^5 * 3^2 * 5^4 * 7","2^3 * 3^6 * 5^2 * 7"
1800000,1080000,30,30,3,3,13,13,360000,9,"2^6 * 3^2 * 5^5","2^6 * 3^3 * 5^4"
3892032,3283902,40542,40542,4,4,10,8,121626,27,"2^6 * 3^2 * 29 * 233","2 * 3^5 * 29 * 233"
3928824,3492288,12126,12126,4,4,10,11,436536,36,"2^3 * 3^5 * 43 * 47","2^6 * 3^3 * 43 * 47"
4500000,4050000,30,30,3,3,13,13,450000,9,"2^5 * 3^2 * 5^6","2^4 * 3^4 * 5^5"
