representative,orbit_length,matching_edges,primitive_matching_edges,orbit
1008,3,1,0,"1008 -> 1800 -> 1080"
3024,3,1,1,"3024 -> 3402 -> 3240"
4005,3,1,0,"4005 -> 4500 -> 4050"
6048,3,1,1,"6048 -> 6804 -> 6480"
10008,3,1,0,"10008 -> 18000 -> 10800"
10143,3,1,1,"10143 -> 13041 -> 11340"
20286,3,1,1,"20286 -> 26082 -> 22680"
24768,3,1,1,"24768 -> 28467 -> 27864"
40005,3,1,0,"40005 -> 45000 -> 40500"
100008,5,1,0,"100008 -> 180000 -> 108000 -> 100080 -> 100800"
100206,5,1,0,"100206 -> 160002 -> 126000 -> 102060 -> 100620"
112167,5,1,1,"112167 -> 171621 -> 117216 -> 161172 -> 126711"
112869,5,1,1,"112869 -> 191628 -> 189216 -> 168192 -> 126981"
222244,5,1,1,"222244 -> 242422 -> 224224 -> 242242 -> 224422"
324333,5,1,1,"324333 -> 332343 -> 333423 -> 333234 -> 343332"
325728,5,1,1,"325728 -> 382257 -> 378522 -> 327285 -> 352872"
355788,5,1,1,"355788 -> 385857 -> 378558 -> 387585 -> 358875"
400005,5,1,0,"400005 -> 450000 -> 405000 -> 400050 -> 400500"
400653,5,1,0,"400653 -> 430506 -> 463005 -> 456030 -> 405360"
444488,5,1,1,"444488 -> 484844 -> 448448 -> 484484 -> 448844"
648666,5,1,1,"648666 -> 664686 -> 666846 -> 666468 -> 686664"
1000008,6,1,0,"1000008 -> 1800000 -> 1080000 -> 1000800 -> 1000080 -> 1008000"
1000260,6,1,0,"1000260 -> 1006020 -> 1002006 -> 1600002 -> 1260000 -> 1020600"
3038229,6,1,1,"3038229 -> 3902328 -> 3892032 -> 3283902 -> 3220893 -> 3329280"
3282498,6,1,1,"3282498 -> 3829842 -> 3284289 -> 3928824 -> 3492288 -> 3848922"
4000005,6,1,0,"4000005 -> 4500000 -> 4050000 -> 4000500 -> 4000050 -> 4005000"
