n,T,ratio,g
3024,3402,8:9,378
6048,6804,8:9,756
10143,13041,7:9,1449
20286,26082,7:9,2898
27864,24768,9:8,3096
117216,161172,8:11,14652
189216,168192,9:8,21024
224224,242242,112:121,2002
333234,343332,33:34,10098
352872,325728,13:12,27144
387585,358875,27:25,14355
448448,484484,112:121,4004
666468,686664,33:34,20196
3892032,3283902,32:27,121626
3928824,3492288,9:8,436536
137539323,133273593,2257:2187,60939
247153125,254271135,625:643,395445
321881616,362116818,8:9,40235202
869148324,846293184,1331:1296,653004
30295283184,34082193582,8:9,3786910398
224224224224,242242242242,112:121,2002002002
448448448448,484484484484,112:121,4004004004
3218798644416,3621148474968,8:9,402349830552
4095978487776,4607975798748,8:9,511997310972
278872680402684,247886827024608,9:8,30985853378076
224224224224224224,242242242242242242,112:121,2002002002002002
448448448448448448,484484484484484484,112:121,4004004004004004
30277399772083544064,34062074743593987072,8:9,3784674971510443008
3894511587722851421952,3285994152141155887272,32:27,121703487116339106936
25339085966463299171622,22523631970189599263664,9:8,2815453996273699907958
