n,Tn,rad,omega_n,omega_Tn,Omega_n,Omega_Tn,gcd,factorization_n,factorization_Tn
3024,3402,42,3,3,8,7,378,"2^4 * 3^3 * 7","2 * 3^5 * 7"
6048,6804,42,3,3,9,8,756,"2^5 * 3^3 * 7","2^2 * 3^5 * 7"
10143,13041,483,3,3,5,6,1449,"3^2 * 7^2 * 23","3^4 * 7 * 23"
20286,26082,966,4,4,6,7,2898,"2 * 3^2 * 7^2 * 23","2 * 3^4 * 7 * 23"
27864,24768,258,3,3,8,9,3096,"2^3 * 3^4 * 43","2^6 * 3^2 * 43"
117216,161172,2442,4,4,9,7,14652,"2^5 * 3^2 * 11 * 37","2^2 * 3^2 * 11^2 * 37"
189216,168192,438,3,3,10,11,21024,"2^5 * 3^4 * 73","2^8 * 3^2 * 73"
224224,242242,2002,4,4,9,6,2002,"2^5 * 7^2 * 11 * 13","2 * 7 * 11^3 * 13"
333234,343332,1122,4,4,8,8,10098,"2 * 3^4 * 11^2 * 17","2^2 * 3^3 * 11 * 17^2"
352872,325728,2262,4,4,8,10,27144,"2^3 * 3^2 * 13^2 * 29","2^5 * 3^3 * 13 * 29"
387585,358875,4785,4,4,8,7,14355,"3^5 * 5 * 11 * 29","3^2 * 5^3 * 11 * 29"
448448,484484,2002,4,4,10,7,4004,"2^6 * 7^2 * 11 * 13","2^2 * 7 * 11^3 * 13"
666468,686664,1122,4,4,9,9,20196,"2^2 * 3^4 * 11^2 * 17","2^3 * 3^3 * 11 * 17^2"
3892032,3283902,40542,4,4,10,8,121626,"2^6 * 3^2 * 29 * 233","2 * 3^5 * 29 * 233"
3928824,3492288,12126,4,4,10,11,436536,"2^3 * 3^5 * 43 * 47","2^6 * 3^3 * 43 * 47"
