a,b,digits,n,Tn,g,primitive,support_match
8,9,4,3024,3402,378,1,1
8,9,4,6048,6804,756,1,1
8,9,9,321881616,362116818,40235202,1,1
8,9,9,253898568,285635889,31737321,1,0
8,9,11,30295283184,34082193582,3786910398,1,1
8,9,13,3222473102856,3625282240713,402809137857,1,0
8,9,13,3218798644416,3621148474968,402349830552,1,1
8,9,13,4095978487776,4607975798748,511997310972,1,1
8,9,20,30277399772083544064,34062074743593987072,3784674971510443008,1,1
9,8,5,27864,24768,3096,1,1
9,8,6,456030,405360,50670,0,1
9,8,6,189216,168192,21024,1,1
9,8,7,3928824,3492288,436536,1,1
9,8,9,265563603,236056536,29507067,1,0
9,8,9,266469183,236861496,29607687,1,0
9,8,10,2399523021,2132909352,266613669,1,0
9,8,15,278872680402684,247886827024608,30985853378076,1,1
9,8,20,34237056060175128930,30432938720155670160,3804117340019458770,0,1
