index,n,T(n),gcd,reduced_a,reduced_b,reduced_ratio,rad(n),rad(T(n)),prime_support_n,prime_support_T,omega_n,omega_T,Omega_n,Omega_T,factorization_n,factorization_T
1,3024,3402,378,8,9,8:9,42,42,2*3*7,2*3*7,3,3,8,7,2^4 * 3^3 * 7,2 * 3^5 * 7
2,6048,6804,756,8,9,8:9,42,42,2*3*7,2*3*7,3,3,9,8,2^5 * 3^3 * 7,2^2 * 3^5 * 7
3,10143,13041,1449,7,9,7:9,483,483,3*7*23,3*7*23,3,3,5,6,3^2 * 7^2 * 23,3^4 * 7 * 23
4,20286,26082,2898,7,9,7:9,966,966,2*3*7*23,2*3*7*23,4,4,6,7,2 * 3^2 * 7^2 * 23,2 * 3^4 * 7 * 23
5,27864,24768,3096,9,8,9:8,258,258,2*3*43,2*3*43,3,3,8,9,2^3 * 3^4 * 43,2^6 * 3^2 * 43
6,117216,161172,14652,8,11,8:11,2442,2442,2*3*11*37,2*3*11*37,4,4,9,7,2^5 * 3^2 * 11 * 37,2^2 * 3^2 * 11^2 * 37
7,189216,168192,21024,9,8,9:8,438,438,2*3*73,2*3*73,3,3,10,11,2^5 * 3^4 * 73,2^8 * 3^2 * 73
8,224224,242242,2002,112,121,112:121,2002,2002,2*7*11*13,2*7*11*13,4,4,9,6,2^5 * 7^2 * 11 * 13,2 * 7 * 11^3 * 13
9,333234,343332,10098,33,34,33:34,1122,1122,2*3*11*17,2*3*11*17,4,4,8,8,2 * 3^4 * 11^2 * 17,2^2 * 3^3 * 11 * 17^2
10,352872,325728,27144,13,12,13:12,2262,2262,2*3*13*29,2*3*13*29,4,4,8,10,2^3 * 3^2 * 13^2 * 29,2^5 * 3^3 * 13 * 29
11,387585,358875,14355,27,25,27:25,4785,4785,3*5*11*29,3*5*11*29,4,4,8,7,3^5 * 5 * 11 * 29,3^2 * 5^3 * 11 * 29
12,448448,484484,4004,112,121,112:121,2002,2002,2*7*11*13,2*7*11*13,4,4,10,7,2^6 * 7^2 * 11 * 13,2^2 * 7 * 11^3 * 13
13,666468,686664,20196,33,34,33:34,1122,1122,2*3*11*17,2*3*11*17,4,4,9,9,2^2 * 3^4 * 11^2 * 17,2^3 * 3^3 * 11 * 17^2
14,3892032,3283902,121626,32,27,32:27,40542,40542,2*3*29*233,2*3*29*233,4,4,10,8,2^6 * 3^2 * 29 * 233,2 * 3^5 * 29 * 233
15,3928824,3492288,436536,9,8,9:8,12126,12126,2*3*43*47,2*3*43*47,4,4,10,11,2^3 * 3^5 * 43 * 47,2^6 * 3^3 * 43 * 47
16,137539323,133273593,60939,2257,2187,2257:2187,6771,6771,3*37*61,3*37*61,3,3,7,12,3^3 * 37^2 * 61^2,3^10 * 37 * 61
17,247153125,254271135,395445,625,643,625:643,395445,395445,3*5*41*643,3*5*41*643,4,4,8,5,3 * 5^5 * 41 * 643,3 * 5 * 41 * 643^2
18,321881616,362116818,40235202,8,9,8:9,13411734,13411734,2*3*7*319327,2*3*7*319327,4,4,8,7,2^4 * 3^2 * 7 * 319327,2 * 3^4 * 7 * 319327
19,869148324,846293184,653004,1331,1296,1331:1296,108834,108834,2*3*11*17*97,2*3*11*17*97,5,5,10,15,2^2 * 3^2 * 11^4 * 17 * 97,2^6 * 3^6 * 11 * 17 * 97
20,1938285196,1699318528,26551852,73,64,73:64,13275926,13275926,2*73*90931,2*73*90931,3,3,5,10,2^2 * 73^2 * 90931,2^8 * 73 * 90931
21,2240563518,2821450356,82983834,27,34,27:34,27661278,27661278,2*3*17*139*1951,2*3*17*139*1951,5,5,9,8,2 * 3^5 * 17 * 139 * 1951,2^2 * 3^2 * 17^2 * 139 * 1951
22,2952612351,2195532261,75708009,39,29,39:29,25236003,25236003,3*13*29*53*421,3*13*29*53*421,5,5,8,7,3^3 * 13^2 * 29 * 53 * 421,3^2 * 13 * 29^2 * 53 * 421
