n,T(n),primitive,fixed_point,gcd,reduced_a,reduced_b,rad_ab,prime_support_match,expected_T_match,status
3024,3402,1,0,378,8,9,6,1,1,VERIFIED
6048,6804,1,0,756,8,9,6,1,1,VERIFIED
10143,13041,1,0,1449,7,9,21,1,1,VERIFIED
20286,26082,1,0,2898,7,9,21,1,1,VERIFIED
27864,24768,1,0,3096,9,8,6,1,1,VERIFIED
117216,161172,1,0,14652,8,11,22,1,1,VERIFIED
189216,168192,1,0,21024,9,8,6,1,1,VERIFIED
224224,242242,1,0,2002,112,121,154,1,1,VERIFIED
333234,343332,1,0,10098,33,34,1122,1,1,VERIFIED
352872,325728,1,0,27144,13,12,78,1,1,VERIFIED
387585,358875,1,0,14355,27,25,15,1,1,VERIFIED
448448,484484,1,0,4004,112,121,154,1,1,VERIFIED
666468,686664,1,0,20196,33,34,1122,1,1,VERIFIED
3892032,3283902,1,0,121626,32,27,6,1,1,VERIFIED
3928824,3492288,1,0,436536,9,8,6,1,1,VERIFIED
137539323,133273593,1,0,60939,2257,2187,6771,1,1,VERIFIED
247153125,254271135,1,0,395445,625,643,3215,1,1,VERIFIED
321881616,362116818,1,0,40235202,8,9,6,1,1,VERIFIED
869148324,846293184,1,0,653004,1331,1296,66,1,1,VERIFIED
1938285196,1699318528,1,0,26551852,73,64,146,1,1,VERIFIED
2240563518,2821450356,1,0,82983834,27,34,102,1,1,VERIFIED
2952612351,2195532261,1,0,75708009,39,29,1131,1,1,VERIFIED
